,Acanthasteridae,Acanthocerataceae,Acaryochloridaceae,Acinetosporaceae,Acipenseridae,Acrochaetiaceae,Acroporidae,Actiniidae,Acytosteliaceae,Aegisthidae,Agaraceae,Aiptasiidae,Alariaceae,Alepocephalidae,Ammodytidae,Amoebophryaceae,Amphipleuraceae,Anarhichadidae,Anaulaceae,Anomoeoneidaceae,Anoplopomatidae,Aphanizomenonaceae,Aphanothecaceae,Aplysiidae,Apogonidae,Apusomonadidae,Arcidae,Areschougiaceae,Asteriidae,Attheyaceae,Bacillariaceae,Balaenopteridae,Bangiaceae,Bathycoccaceae,Bathylagidae,Batrachoididae,Batrachospermaceae,Berkeleyaceae,Biddulphiaceae,Blenniidae,Bolbocoleonaceae,Bonnemaisoniaceae,Bracteacoccaceae,Bryopsidaceae,Calanidae,Calotrichaceae,Campanulariidae,Cavenderiaceae,Ceramiaceae,Ceratiidae,Chaetocerotaceae,Chamaesiphonaceae,Characeae,Chattonellaceae,Chlamydomonadaceae,Chlorellaceae,Chlorobiaceae,Chlorocystidaceae,Chloroflexaceae,Chloropicaceae,Chromulinaceae,Chroococcaceae,Chroococcidiopsidaceae,Chroomonadaceae,Chrysochromulinaceae,Chrysolepidomonadaceae,Cionidae,Cirratulidae,Closteriaceae,Clupeidae,Codiaceae,Coleofasciculaceae,Collosphaeridae,Corallinaceae,Coscinodiscaceae,Cottidae,Crustomastigaceae,Cyaneidae,Cyanidiaceae,Cyanophoraceae,Cyanothecaceae,Cyclopteridae,Cymatosiraceae,Cynoglossidae,Cyprinidae,Daphniidae,Dasyaceae,Delesseriaceae,Delphinidae,Derbesiaceae,Dermocarpellaceae,Desmidiaceae,Dictyotaceae,Diplonemidae,Dugesiidae,Dunaliellaceae,Echeneidae,Ectocarpaceae,Edwardsiidae,Eirenidae,Entomoneidaceae,Eucalanidae,Euglenaceae,Eunotiaceae,Euphausiidae,Euplotidae,Eustigmataceae,Fonticulaceae,Fragilariaceae,Fucaceae,Gadidae,Gasterosteidae,Gecarcinidae,Gelidiaceae,Geminigeraceae,Gigartinaceae,Globorotaliidae,Gloeobacteraceae,Gloeomargaritaceae,Gobiidae,Gomontiellaceae,Gomphonemataceae,Gonostomatidae,Gonyaulacaceae,Gracilariaceae,Gromiidae,Gymnodiniaceae,Haematococcaceae,Halimedaceae,Haliotidae,Halymeniaceae,Hapalidiaceae,Hapalosiphonaceae,Harpacticidae,Heliobacteriaceae,Hemiaulaceae,Hemidiscaceae,Hemiselmidaceae,Heterocapsaceae,Hexamitidae,Hildenbrandiaceae,Histionidae,Hyalellidae,Hydridae,Hydrodictyaceae,Hyellaceae,Hymenomonadaceae,Hypneaceae,Hypotrichomonadidae,Jakobidae,Kallymeniaceae,Kareniaceae,Klebsormidiaceae,Koliellaceae,Kryptoperidiniaceae,Laminariaceae,Lateolabracidae,Leptocylindraceae,Leptolyngbyaceae,Liagoraceae,Licmophoraceae,Limulidae,Lingulidae,Liparidae,Lithodesmiaceae,Loliginidae,Lottiidae,Lysianassidae,Mallomonadaceae,Mamiellaceae,Merismopediaceae,Merulinidae,Mesotaeniaceae,Metopidae,Metridinidae,Microcoleaceae,Microstomatidae,Monodontidae,Monodopsidaceae,Mustelidae,Myctophidae,Mytilidae,Myxinidae,Naviculaceae,Nephroselmidaceae,Nephtheidae,Niphatidae,Noelaerhabdaceae,Nostocaceae,Octopodidae,Odobenidae,Oedogoniaceae,Oikopleuridae,Oltmannsiellopsidaceae,Oocystaceae,Oreosomatidae,Oscillatoriaceae,Osmeridae,Ostreidae,Ostreobiaceae,Otariidae,Oxystominidae,Oxytrichidae,Palmariaceae,Paralichthyidae,Parameciidae,Parastacidae,Paulinellidae,Pavlovaceae,Pectinidae,Pelagiidae,Penaeidae,Perkinsidae,Petromyzontidae,Pfiesteriaceae,Phacaceae,Phaeocystaceae,Phaeodactylaceae,Phocidae,Phocoenidae,Phyllophoraceae,Physeteridae,Picocystaceae,Pinguiochrysidaceae,Plagiogrammaceae,Pleurastraceae,Pleuronectidae,Pocilloporidae,Polynoidae,Polyphysaceae,Porphyridiaceae,Portunidae,Prasinococcaceae,Prasiolaceae,Priapulidae,Prochloraceae,Prochlorotrichaceae,Prorocentraceae,Protoperidiniaceae,Provannidae,Pseudanabaenaceae,Pteriidae,Pycnococcaceae,Pyramimonadaceae,Pyuridae,Rajidae,Rhincodontidae,Rhizosoleniaceae,Rhodogorgonaceae,Rhodomelaceae,Rhodymeniaceae,Rivulariaceae,Roseiflexaceae,Rotaliidae,Saccosporidae,Salmonidae,Salpidae,Salpingoecidae,Sargassaceae,Scenedesmaceae,Scytonemataceae,Scytosiphonaceae,Sebastidae,Selenastraceae,Skeletonemataceae,Solieriaceae,Sparidae,Sphaerozoidae,Spyridiaceae,Staurosiraceae,Stephanodiscaceae,Sticholonchidae,Strongylocentrotidae,Styelidae,Suessiaceae,Syndiniaceae,Synechococcaceae,Syngnathidae,Temoridae,Terebellidae,Tetragonicipitidae,Tetrahymenidae,Thalassiosiraceae,Thaumatomastigidae,Thraustochytriaceae,Toxariaceae,Trebouxiaceae,Triceratiaceae,Triparmaceae,Ulmaridae,Ulnariaceae,Ulvaceae,Vahlkampfiidae,Wrangeliaceae,Zoarcidae,Zosteraceae,Zygnemataceae
1820,8,1,1,0,10,0,22,46,10,5,0,9,1,0,0,0,1,13,0,0,1,24,30,77,1169,10,1,0,38,2,15,26,2,26,0,198,0,0,1,291,0,0,1,2,90,31,0,7,1,0,89,2,0,1,16,6,74,0,3,301,0,10,7,0,1,3,21,0,0,16,0,4,0,0,0,0,0,5,4,0,5,36,0,22,279,12,0,1,39,0,1,7,2,3,1,1,203,0,17,0,0,0,2,0,0,0,0,5,1,0,556,28,0,1,16,2,1,16,2,18,5,0,0,10,1,0,1,0,0,2,0,0,48,0,3,6,0,0,0,1,1,0,10,2,8,3,0,1,0,0,1,0,0,1,2,0,219,1,9,1,3,0,5,0,2,0,1,0,7,23,0,2,0,0,3,25,0,22,22,202,0,5,3,2,0,2,12,14,467,48,12,1,0,0,0,0,48,1,62,15,32,0,0,0,7,3,0,2,0,145,5,2909,0,51,1,1,9,2,14,2,0,6,0,0,1,0,11,8,0,0,0,1,0,1,44,8,4,1,0,0,7,0,3,2,0,6,6,0,0,6,0,3,17,0,0,2762,0,53,1,0,7,0,15,6,3,0,1164,12,1,0,13,0,17,1,0,0,186,113,10,0,41,7,22,1,0,0,0,1,7,1,0,0,12,1,0,0,0
3220,25,0,3,0,23,0,27,294,26,34,0,16,0,0,1,0,3,31,0,0,0,103,84,178,5288,15,3,0,154,3,16,63,7,32,0,559,0,0,1,825,0,0,1,0,434,69,0,18,6,0,75,4,1,2,52,14,291,0,16,1674,0,27,1,0,0,17,117,0,2,56,0,2,0,0,3,0,0,1,4,0,3,31,1,46,924,16,0,2,51,0,2,15,1,0,0,0,2315,0,26,0,1,1,2,0,1,0,0,7,1,0,948,89,0,0,31,11,0,19,1,23,0,0,0,4,2,3,9,1,1,30,0,0,142,2,12,3,2,0,0,1,0,1,7,6,5,1,0,0,0,0,0,0,0,0,1,2,680,1,25,1,0,13,11,0,0,0,2,0,1,28,1,24,0,0,1,117,0,108,99,621,0,10,6,2,0,11,18,21,630,107,12,0,0,0,1,0,198,1,258,5,177,0,0,0,21,5,0,3,0,292,2,13389,5,78,0,3,7,6,28,5,0,4,0,0,1,0,29,8,0,1,0,1,0,0,82,6,4,0,0,1,15,0,0,1,0,24,23,7,0,0,0,7,42,0,3,10229,2,81,3,5,29,0,26,9,3,0,1825,9,1,0,3,0,63,6,0,0,250,339,17,0,280,5,21,1,1,1,4,0,7,1,0,4,24,0,0,0,0
4680,5,4,2,0,3,0,3,9,12,0,0,10,0,0,0,0,1,4,1,0,0,16,5,30,56,5,0,0,25,4,41,131,1,78,1,22,0,0,2,23,0,0,0,0,5,23,0,3,2,1,196,3,0,0,11,13,63,0,11,2,1,8,4,0,0,0,4,0,0,21,0,6,1,0,1,0,1,3,3,0,1,4,2,6,272,2,1,2,25,0,3,1,0,3,2,1,13,0,3,0,2,6,2,0,1,0,1,1,3,0,2306,14,0,0,31,2,2,8,2,8,0,1,0,8,5,0,0,0,0,0,0,0,6,1,2,9,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,4,0,0,4,1,34,1,23,0,0,3,7,0,3,0,4,0,1,23,1,3,0,0,14,14,0,7,10,41,0,19,0,5,0,4,4,19,51,1,0,0,1,1,0,0,21,5,39,3,3,2,1,1,3,5,0,1,0,36,25,10,0,4,5,2,27,4,3,9,0,4,0,0,1,0,5,6,0,0,0,0,2,0,5,14,9,1,0,0,5,0,3,0,0,2,1,4,0,2,0,4,18,0,0,171,0,7,3,1,5,1,9,5,10,0,78,22,0,0,35,1,32,8,1,1,388,14,3,0,0,2,59,0,0,0,2,1,35,24,3,2,1,0,0,0,0
7210,17,2,5,0,8,0,31,119,9,21,0,10,0,0,0,1,3,20,0,0,0,35,45,65,3061,5,3,0,77,8,18,80,3,50,0,273,0,0,2,344,0,0,2,3,199,38,0,11,1,0,141,5,2,0,21,7,300,0,15,952,0,21,9,0,1,8,42,0,0,55,0,8,1,0,1,0,0,0,9,1,5,10,1,17,569,9,0,0,8,0,5,6,0,1,1,2,880,0,26,0,1,2,0,2,0,0,0,3,2,0,611,44,0,0,24,5,0,11,4,6,0,0,0,5,2,0,0,3,1,12,1,0,42,1,7,8,0,1,0,3,0,1,7,1,4,3,0,0,0,0,0,1,0,0,3,1,328,0,17,1,1,9,5,0,2,0,6,0,0,24,3,16,0,0,3,43,0,46,45,296,0,10,7,6,0,1,13,12,558,13,3,2,0,0,0,0,45,0,109,2,9,0,1,0,6,2,0,0,0,146,1,5832,1,21,1,0,24,4,14,10,0,5,0,0,2,0,9,8,0,0,0,0,0,0,15,7,7,0,0,2,7,0,1,0,0,13,9,6,1,2,1,3,27,0,2,5125,0,38,2,1,29,0,24,6,13,0,1103,22,1,0,16,0,53,5,0,0,298,160,9,0,126,4,42,2,0,1,1,0,14,4,0,4,9,0,0,0,0
7970,2,2,0,0,7,0,6,6,4,0,0,1,0,0,5,0,1,9,0,0,0,21,25,35,49,15,0,0,32,3,22,29,3,67,0,21,0,0,1,29,1,0,0,1,3,41,0,5,1,0,184,3,0,0,8,9,101,0,19,8,0,17,4,3,0,0,9,0,0,10,0,14,1,0,3,0,1,3,6,8,4,6,2,4,287,8,0,0,9,0,4,1,0,0,0,0,40,1,3,0,1,0,0,1,0,0,0,3,2,0,334,6,0,0,14,3,0,23,2,8,2,0,0,2,7,0,0,2,2,0,1,0,4,0,11,11,0,0,0,2,1,0,5,4,0,1,0,0,0,0,0,1,0,0,4,1,31,0,36,2,0,5,3,0,1,0,1,0,0,19,2,4,0,0,2,32,0,3,17,46,1,13,1,3,3,2,9,28,51,12,1,0,0,2,0,0,22,1,63,5,4,1,1,0,4,5,1,4,0,50,3,22,2,9,1,0,28,1,6,1,0,0,0,0,2,0,13,14,0,1,0,0,0,0,14,19,7,0,0,0,10,0,0,0,0,7,2,8,0,5,1,4,27,0,0,165,0,16,2,2,9,0,6,13,9,1,91,19,0,3,14,0,23,6,0,0,475,21,3,0,0,6,28,1,0,3,0,1,19,5,0,0,2,0,0,1,0
9190,6,1,2,1,10,0,11,5,6,0,0,10,0,0,0,0,0,7,0,1,0,20,16,31,69,13,1,0,36,1,21,83,5,66,0,37,2,0,1,50,0,0,0,5,4,39,0,3,1,0,114,23,2,1,16,12,96,0,18,8,0,15,11,0,0,0,4,1,0,26,0,3,1,1,6,0,0,0,4,9,4,6,0,9,266,1,2,1,29,0,4,5,0,1,6,0,27,2,5,0,2,0,3,2,0,0,0,0,7,0,623,14,0,0,14,7,0,22,11,7,5,1,0,1,1,0,2,4,2,2,2,3,7,2,7,11,2,0,1,1,0,0,14,5,0,1,0,0,0,0,3,1,1,0,3,2,54,3,57,8,1,4,3,0,0,0,2,0,0,30,10,9,2,0,0,26,0,11,22,60,0,10,2,2,2,2,13,17,92,4,0,0,2,3,1,0,32,0,89,1,8,0,0,1,5,11,0,2,2,57,0,23,1,5,4,3,23,7,10,4,0,5,0,0,1,0,12,16,0,0,0,0,1,0,6,24,4,2,0,1,22,0,0,1,0,8,0,5,0,13,3,5,37,0,0,246,0,12,1,2,14,1,2,0,4,5,100,20,0,0,14,0,32,4,1,0,340,39,4,0,0,8,35,0,0,0,1,1,12,0,2,3,4,0,0,0,0
10150,1,0,7,0,6,0,6,2,3,0,0,3,0,0,0,0,2,5,0,1,0,31,14,21,59,18,0,0,20,5,13,30,2,47,0,20,0,0,0,39,0,0,0,6,1,34,0,4,0,0,41,6,0,1,12,16,86,0,14,5,0,16,9,0,0,0,2,0,0,42,0,9,0,3,1,0,0,1,1,1,3,1,0,5,133,3,1,4,9,0,6,1,2,0,0,0,24,1,6,0,0,1,2,2,0,0,0,2,0,0,237,9,0,0,9,1,0,9,6,4,1,2,0,0,3,0,2,4,1,0,0,0,7,1,10,5,1,0,0,0,0,1,8,5,0,3,0,1,2,3,2,0,2,0,4,0,33,1,19,4,0,14,1,0,0,0,0,0,0,15,11,3,1,0,0,20,0,5,11,24,0,5,5,1,1,2,10,19,80,5,0,0,0,1,1,0,33,0,31,7,1,0,0,0,6,4,0,4,1,47,2,6,1,6,0,3,7,5,5,5,0,1,0,0,2,0,3,7,0,0,4,0,0,0,10,16,4,0,2,2,12,0,1,1,1,6,4,2,0,5,0,2,19,0,0,147,0,9,2,0,2,0,6,6,7,1,45,11,0,1,10,0,16,0,0,0,256,38,2,0,0,6,19,0,0,2,0,0,7,0,0,0,1,0,1,0,0
11200,0,2,3,0,2,0,4,5,5,0,0,4,1,0,0,1,1,5,4,0,0,26,54,39,37,13,0,0,29,3,77,24,3,193,1,15,0,0,0,27,0,0,0,1,3,14,0,3,1,0,26,2,0,1,11,8,99,0,14,6,1,12,5,1,0,0,0,0,0,51,0,10,1,0,3,0,0,1,3,0,1,4,1,3,146,4,0,2,8,0,2,0,2,0,1,0,21,0,4,0,1,3,2,3,0,1,0,3,3,0,348,8,0,0,16,5,1,11,0,6,2,4,0,0,2,0,3,2,0,0,1,0,2,0,4,7,1,2,0,1,0,1,10,2,0,4,0,0,0,1,0,2,0,0,0,2,27,5,14,1,0,4,10,0,1,0,0,0,0,31,6,2,0,0,10,14,0,0,15,65,0,10,0,6,1,1,3,112,50,4,1,0,1,2,0,0,17,0,54,1,17,2,1,0,2,4,0,2,1,46,3,7,4,7,0,1,35,3,11,1,1,3,0,0,3,0,10,6,0,0,0,2,1,0,9,13,1,2,0,0,12,0,25,7,0,2,1,8,0,1,0,3,25,1,0,151,0,9,1,5,4,0,2,5,21,0,68,5,0,0,26,1,30,0,2,0,999,15,2,1,0,5,47,1,0,1,2,0,68,1,0,0,2,0,0,1,0
11740,4,2,6,0,18,0,11,7,16,0,0,2,2,0,1,1,6,7,2,0,0,70,31,100,72,25,1,0,44,25,209,46,5,385,0,53,0,0,4,72,0,0,0,26,9,39,0,5,5,0,49,3,1,0,20,20,87,0,19,7,1,15,7,0,0,0,4,0,0,74,3,8,0,0,7,0,0,3,6,1,8,8,3,11,319,7,5,2,17,0,13,5,1,0,0,1,33,0,12,0,3,3,23,3,0,0,0,7,14,0,1140,9,0,0,19,8,1,10,12,10,0,5,0,1,3,0,2,16,2,0,0,0,7,2,11,15,2,0,0,1,0,6,8,2,8,3,0,0,0,0,0,4,1,0,5,1,47,8,21,5,3,3,0,1,1,0,2,0,0,101,9,3,1,0,3,34,0,3,22,57,1,9,4,14,1,0,6,121,72,10,1,0,0,0,1,0,42,0,135,2,6,0,8,1,6,13,0,2,1,76,3,18,0,13,1,0,65,4,16,4,0,9,0,0,4,0,20,7,0,0,1,0,0,1,36,38,9,1,0,0,15,0,12,8,0,4,2,3,0,12,0,1,21,0,0,272,0,22,1,2,14,0,6,7,39,0,123,29,0,2,64,0,41,19,0,0,812,47,9,1,0,6,132,2,0,3,1,2,119,0,6,1,7,0,0,0,1
