Age [ka BP]	δ18O H2O [‰ SMOW]
-0.05	-35.19
0.00	-35.19
0.00	-34.83
0.05	-34.83
0.05	-35.05
0.10	-35.05
0.10	-35.45
0.15	-35.45
0.15	-35.42
0.20	-35.42
0.20	-35.63
0.25	-35.63
0.25	-35.80
0.30	-35.80
0.30	-35.62
0.35	-35.62
0.35	-35.48
0.40	-35.48
0.40	-35.36
0.45	-35.36
0.45	-35.41
0.50	-35.41
0.50	-35.10
0.55	-35.10
0.55	-35.27
0.60	-35.27
0.60	-35.67
0.65	-35.67
0.65	-35.33
0.70	-35.33
0.70	-35.38
0.75	-35.38
0.75	-35.63
0.80	-35.63
0.80	-35.49
0.85	-35.49
0.85	-35.30
0.90	-35.30
0.90	-35.66
0.95	-35.66
0.95	-35.01
1.00	-35.01
1.00	-35.09
1.05	-35.09
1.05	-35.58
1.10	-35.58
1.10	-35.51
1.15	-35.51
1.15	-35.34
1.20	-35.34
1.20	-35.27
1.25	-35.27
1.25	-35.26
1.30	-35.26
1.30	-35.09
1.35	-35.09
1.35	-35.20
1.40	-35.20
1.40	-35.09
1.45	-35.09
1.45	-35.68
1.50	-35.68
1.50	-35.42
1.55	-35.42
1.55	-34.84
1.60	-34.84
1.60	-35.68
1.65	-35.68
1.65	-35.22
1.70	-35.22
1.70	-35.72
1.75	-35.72
1.75	-35.43
1.80	-35.43
1.80	-35.19
1.85	-35.19
1.85	-34.66
1.90	-34.66
1.90	-35.03
1.95	-35.03
1.95	-35.00
2.00	-35.00
2.00	-35.12
2.05	-35.12
2.05	-35.19
2.10	-35.19
2.10	-35.60
2.15	-35.60
2.15	-35.33
2.20	-35.33
2.20	-34.77
2.25	-34.77
2.25	-34.99
2.30	-34.99
2.30	-35.10
2.35	-35.10
2.35	-34.93
2.40	-34.93
2.40	-35.65
2.45	-35.65
2.45	-35.25
2.50	-35.25
2.50	-35.11
2.55	-35.11
2.55	-35.29
2.60	-35.29
2.60	-35.32
2.65	-35.32
2.65	-35.19
2.70	-35.19
2.70	-34.86
2.75	-34.86
2.75	-34.96
2.80	-34.96
2.80	-35.14
2.85	-35.14
2.85	-35.03
2.90	-35.03
2.90	-34.64
2.95	-34.64
2.95	-34.98
3.00	-34.98
3.00	-35.19
3.05	-35.19
3.05	-34.91
3.10	-34.91
3.10	-35.02
3.15	-35.02
3.15	-35.17
3.20	-35.17
3.20	-35.08
3.25	-35.08
3.25	-35.15
3.30	-35.15
3.30	-34.91
3.35	-34.91
3.35	-34.81
3.40	-34.81
3.40	-35.07
3.45	-35.07
3.45	-35.00
3.50	-35.00
3.50	-34.96
3.55	-34.96
3.55	-35.13
3.60	-35.13
3.60	-34.49
3.65	-34.49
3.65	-34.63
3.70	-34.63
3.70	-35.06
3.75	-35.06
3.75	-35.05
3.80	-35.05
3.80	-35.21
3.85	-35.21
3.85	-35.11
3.90	-35.11
3.90	-35.07
3.95	-35.07
3.95	-34.73
4.00	-34.73
4.00	-35.02
4.05	-35.02
4.05	-35.25
4.10	-35.25
4.10	-34.96
4.15	-34.96
4.15	-34.65
4.20	-34.65
4.20	-35.19
4.25	-35.19
4.25	-34.65
4.30	-34.65
4.30	-35.10
4.35	-35.10
4.35	-34.99
4.40	-34.99
4.40	-34.65
4.45	-34.65
4.45	-35.00
4.50	-35.00
4.50	-34.45
4.55	-34.45
4.55	-34.87
4.60	-34.87
4.60	-35.05
4.65	-35.05
4.65	-34.78
4.70	-34.78
4.70	-34.60
4.75	-34.60
4.75	-34.85
4.80	-34.85
4.80	-34.74
4.85	-34.74
4.85	-34.40
4.90	-34.40
4.90	-34.72
4.95	-34.72
4.95	-34.76
5.00	-34.76
5.00	-34.65
5.05	-34.65
5.05	-34.98
5.10	-34.98
5.10	-34.41
5.15	-34.41
5.15	-34.68
5.20	-34.68
5.20	-35.09
5.25	-35.09
5.25	-34.97
5.30	-34.97
5.30	-35.02
5.35	-35.02
5.35	-34.64
5.40	-34.64
5.40	-34.56
5.45	-34.56
5.45	-34.51
5.50	-34.51
5.50	-34.82
5.55	-34.82
5.55	-34.63
5.60	-34.63
5.60	-35.09
5.65	-35.09
5.65	-34.75
5.70	-34.75
5.70	-34.62
5.75	-34.62
5.75	-34.82
5.80	-34.82
5.80	-34.22
5.85	-34.22
5.85	-34.73
5.90	-34.73
5.90	-34.96
5.95	-34.96
5.95	-34.93
6.00	-34.93
6.00	-34.83
6.05	-34.83
6.05	-34.40
6.10	-34.40
6.10	-34.81
6.15	-34.81
6.15	-34.77
6.20	-34.77
6.20	-34.80
6.25	-34.80
6.25	-34.78
6.30	-34.78
6.30	-34.65
6.35	-34.65
6.35	-34.35
6.40	-34.35
6.40	-34.55
6.45	-34.55
6.45	-35.08
6.50	-35.08
6.50	-34.47
6.55	-34.47
6.55	-34.61
6.60	-34.61
6.60	-34.54
6.65	-34.54
6.65	-34.51
6.70	-34.51
6.70	-34.72
6.75	-34.72
6.75	-34.66
6.80	-34.66
6.80	-34.54
6.85	-34.54
6.85	-34.77
6.90	-34.77
6.90	-34.60
6.95	-34.60
6.95	-34.79
7.00	-34.79
7.00	-34.70
7.05	-34.70
7.05	-34.81
7.10	-34.81
7.10	-34.82
7.15	-34.82
7.15	-34.61
7.20	-34.61
7.20	-34.91
7.25	-34.91
7.25	-34.69
7.30	-34.69
7.30	-34.43
7.35	-34.43
7.35	-34.41
7.40	-34.41
7.40	-34.52
7.45	-34.52
7.45	-34.69
7.50	-34.69
7.50	-34.23
7.55	-34.23
7.55	-34.33
7.60	-34.33
7.60	-34.39
7.65	-34.39
7.65	-34.42
7.70	-34.42
7.70	-34.06
7.75	-34.06
7.75	-34.25
7.80	-34.25
7.80	-34.89
7.85	-34.89
7.85	-34.54
7.90	-34.54
7.90	-34.13
7.95	-34.13
7.95	-34.63
8.00	-34.63
8.00	-34.65
8.05	-34.65
8.05	-35.51
8.10	-35.51
8.10	-35.98
8.15	-35.98
8.15	-35.39
8.20	-35.39
8.20	-34.60
8.25	-34.60
8.25	-34.69
8.30	-34.69
8.30	-35.13
8.35	-35.13
8.35	-34.77
8.40	-34.77
8.40	-34.60
8.45	-34.60
8.45	-34.71
8.50	-34.71
8.50	-34.46
8.55	-34.46
8.55	-35.12
8.60	-35.12
8.60	-34.75
8.65	-34.75
8.65	-34.82
8.70	-34.82
8.70	-35.05
8.75	-35.05
8.75	-34.67
8.80	-34.67
8.80	-34.30
8.85	-34.30
8.85	-34.71
8.90	-34.71
8.90	-34.66
8.95	-34.66
8.95	-35.22
9.00	-35.22
9.00	-34.78
9.05	-34.78
9.05	-34.49
9.10	-34.49
9.10	-34.81
9.15	-34.81
9.15	-35.48
9.20	-35.48
9.20	-35.41
9.25	-35.41
9.25	-34.78
9.30	-34.78
9.30	-34.87
9.35	-34.87
9.35	-35.12
9.40	-35.12
9.40	-34.83
9.45	-34.83
9.45	-34.91
9.50	-34.91
9.50	-34.86
9.55	-34.86
9.55	-34.86
9.60	-34.86
9.60	-34.70
9.65	-34.70
9.65	-34.64
9.70	-34.64
9.70	-35.15
9.75	-35.15
9.75	-34.99
9.80	-34.99
9.80	-35.13
9.85	-35.13
9.85	-34.93
9.90	-34.93
9.90	-35.29
9.95	-35.29
9.95	-35.25
10.00	-35.25
10.00	-35.24
10.05	-35.24
10.05	-35.38
10.10	-35.38
10.10	-36.27
10.15	-36.27
10.15	-35.73
10.20	-35.73
10.20	-36.18
10.25	-36.18
10.25	-36.22
10.30	-36.22
10.30	-36.09
10.35	-36.09
10.35	-35.70
10.40	-35.70
10.40	-35.90
10.45	-35.90
10.45	-36.30
10.50	-36.30
10.50	-35.62
10.55	-35.62
10.55	-36.17
10.60	-36.17
10.60	-36.31
10.65	-36.31
10.65	-36.54
10.70	-36.54
10.70	-37.36
10.75	-37.36
10.75	-37.23
10.80	-37.23
10.80	-36.99
10.85	-36.99
10.85	-36.70
10.90	-36.70
10.90	-36.78
10.95	-36.78
10.95	-36.73
11.00	-36.73
11.00	-37.48
11.05	-37.48
11.05	-36.51
11.10	-36.51
11.10	-36.96
11.15	-36.96
11.15	-37.44
11.20	-37.44
11.20	-37.98
11.25	-37.98
11.25	-38.03
11.30	-38.03
11.30	-37.13
11.35	-37.13
11.35	-36.77
11.40	-36.77
11.40	-36.70
11.45	-36.70
11.45	-38.99
11.50	-38.99
11.50	-40.22
11.55	-40.22
11.55	-40.22
11.60	-40.22
11.60	-39.71
11.65	-39.71
11.65	-40.84
11.70	-40.84
11.70	-41.04
11.75	-41.04
11.75	-40.41
11.80	-40.41
11.80	-39.95
11.85	-39.95
11.85	-41.22
11.90	-41.22
11.90	-41.38
11.95	-41.38
11.95	-40.63
12.00	-40.63
12.00	-40.39
12.05	-40.39
12.05	-40.76
12.10	-40.76
12.10	-41.37
12.15	-41.37
12.15	-40.97
12.20	-40.97
12.20	-41.06
12.25	-41.06
12.25	-40.54
12.30	-40.54
12.30	-40.82
12.35	-40.82
12.35	-41.67
12.40	-41.67
12.40	-41.11
12.45	-41.11
12.45	-42.21
12.50	-42.21
12.50	-40.86
12.55	-40.86
12.55	-40.18
12.60	-40.18
12.60	-39.53
12.65	-39.53
12.65	-39.03
12.70	-39.03
12.70	-38.76
12.75	-38.76
12.75	-39.38
12.80	-39.38
12.80	-39.88
12.85	-39.88
12.85	-40.07
12.90	-40.07
12.90	-41.07
12.95	-41.07
12.95	-40.05
13.00	-40.05
13.00	-40.20
13.05	-40.20
13.05	-39.07
13.10	-39.07
13.10	-39.19
13.15	-39.19
13.15	-38.57
13.20	-38.57
13.20	-38.44
13.25	-38.44
13.25	-38.61
13.30	-38.61
13.30	-38.01
13.35	-38.01
13.35	-38.52
13.40	-38.52
13.40	-39.25
13.45	-39.25
13.45	-39.77
13.50	-39.77
13.50	-38.74
13.55	-38.74
13.55	-38.25
13.60	-38.25
13.60	-39.08
13.65	-39.08
13.65	-38.38
13.70	-38.38
13.70	-38.08
13.75	-38.08
13.75	-38.39
13.80	-38.39
13.80	-39.46
13.85	-39.46
13.85	-40.11
13.90	-40.11
13.90	-39.71
13.95	-39.71
13.95	-38.25
14.00	-38.25
14.00	-38.14
14.05	-38.14
14.05	-37.89
14.10	-37.89
14.10	-37.59
14.15	-37.59
14.15	-37.21
14.20	-37.21
14.20	-37.17
14.25	-37.17
14.25	-36.95
14.30	-36.95
14.30	-37.29
14.35	-37.29
14.35	-36.26
14.40	-36.26
14.40	-36.25
14.45	-36.25
14.45	-36.40
14.50	-36.40
14.50	-37.47
14.55	-37.47
14.55	-40.06
14.60	-40.06
14.60	-41.75
14.65	-41.75
14.65	-40.58
14.70	-40.58
14.70	-41.60
14.75	-41.60
14.75	-41.13
14.80	-41.13
14.80	-41.56
14.85	-41.56
14.85	-42.31
14.90	-42.31
14.90	-42.03
14.95	-42.03
14.95	-42.06
15.00	-42.06
15.00	-42.01
15.05	-42.01
15.05	-42.23
15.10	-42.23
15.10	-42.55
15.15	-42.55
15.15	-40.78
15.20	-40.78
15.20	-42.38
15.25	-42.38
15.25	-42.00
15.30	-42.00
15.30	-42.55
15.35	-42.55
15.35	-43.48
15.40	-43.48
15.40	-42.76
15.45	-42.76
15.45	-41.94
15.50	-41.94
15.50	-43.63
15.55	-43.63
15.55	-43.29
15.60	-43.29
15.60	-41.41
15.65	-41.41
15.65	-41.92
15.70	-41.92
15.70	-41.69
15.75	-41.69
15.75	-41.88
15.80	-41.88
15.80	-41.53
15.85	-41.53
15.85	-43.56
15.90	-43.56
15.90	-42.18
15.95	-42.18
15.95	-42.41
16.00	-42.41
16.00	-41.45
16.05	-41.45
16.05	-42.01
16.10	-42.01
16.10	-41.61
16.15	-41.61
16.15	-41.68
16.20	-41.68
16.20	-40.80
16.25	-40.80
16.25	-41.00
16.30	-41.00
16.30	-41.82
16.35	-41.82
16.35	-41.36
16.40	-41.36
16.40	-41.17
16.45	-41.17
16.45	-40.44
16.50	-40.44
16.50	-40.31
16.55	-40.31
16.55	-41.90
16.60	-41.90
16.60	-41.28
16.65	-41.28
16.65	-40.42
16.70	-40.42
16.70	-40.42
16.75	-40.42
16.75	-40.45
16.80	-40.45
16.80	-40.99
16.85	-40.99
16.85	-40.76
16.90	-40.76
16.90	-41.02
16.95	-41.02
16.95	-42.02
17.00	-42.02
17.00	-41.14
17.05	-41.14
17.05	-40.27
17.10	-40.27
17.10	-40.18
17.15	-40.18
17.15	-41.44
17.20	-41.44
17.20	-40.66
17.25	-40.66
17.25	-41.15
17.30	-41.15
17.30	-41.88
17.35	-41.88
17.35	-42.16
17.40	-42.16
17.40	-42.60
17.45	-42.60
17.45	-41.80
17.50	-41.80
17.50	-42.53
17.55	-42.53
17.55	-41.83
17.60	-41.83
17.60	-41.35
17.65	-41.35
17.65	-42.07
17.70	-42.07
17.70	-42.47
17.75	-42.47
17.75	-42.63
17.80	-42.63
17.80	-42.35
17.85	-42.35
17.85	-42.25
17.90	-42.25
17.90	-41.69
17.95	-41.69
17.95	-40.73
18.00	-40.73
18.00	-41.66
18.05	-41.66
18.05	-40.93
18.10	-40.93
18.10	-41.45
18.15	-41.45
18.15	-42.09
18.20	-42.09
18.20	-41.28
18.25	-41.28
18.25	-41.04
18.30	-41.04
18.30	-41.89
18.35	-41.89
18.35	-41.32
18.40	-41.32
18.40	-42.19
18.45	-42.19
18.45	-41.71
18.50	-41.71
18.50	-42.34
18.55	-42.34
18.55	-42.48
18.60	-42.48
18.60	-42.31
18.65	-42.31
18.65	-41.37
18.70	-41.37
18.70	-42.18
18.75	-42.18
18.75	-42.82
18.80	-42.82
18.80	-41.26
18.85	-41.26
18.85	-41.97
18.90	-41.97
18.90	-41.52
18.95	-41.52
18.95	-41.13
19.00	-41.13
19.00	-41.05
19.05	-41.05
19.05	-41.36
19.10	-41.36
19.10	-42.82
19.15	-42.82
19.15	-40.88
19.20	-40.88
19.20	-40.98
19.25	-40.98
19.25	-42.60
19.30	-42.60
19.30	-41.77
19.35	-41.77
19.35	-42.57
19.40	-42.57
19.40	-42.18
19.45	-42.18
19.45	-42.22
19.50	-42.22
19.50	-41.73
19.55	-41.73
19.55	-42.29
19.60	-42.29
19.60	-42.01
19.65	-42.01
19.65	-42.90
19.70	-42.90
19.70	-43.20
19.75	-43.20
19.75	-43.34
19.80	-43.34
19.80	-42.38
19.85	-42.38
19.85	-42.76
19.90	-42.76
19.90	-43.87
19.95	-43.87
19.95	-42.03
20.00	-42.03
20.00	-41.01
20.05	-41.01
20.05	-41.79
20.10	-41.79
20.10	-42.28
20.15	-42.28
20.15	-42.11
20.20	-42.11
20.20	-42.70
20.25	-42.70
20.25	-42.49
20.30	-42.49
20.30	-42.75
20.35	-42.75
20.35	-44.28
20.40	-44.28
20.40	-42.61
20.45	-42.61
20.45	-43.15
20.50	-43.15
20.50	-42.06
20.55	-42.06
20.55	-42.96
20.60	-42.96
20.60	-43.29
20.65	-43.29
20.65	-42.14
20.70	-42.14
20.70	-42.41
20.75	-42.41
20.75	-42.77
20.80	-42.77
20.80	-42.07
20.85	-42.07
20.85	-43.05
20.90	-43.05
20.90	-42.14
20.95	-42.14
20.95	-41.71
21.00	-41.71
21.00	-42.65
21.05	-42.65
21.05	-42.95
21.10	-42.95
21.10	-43.75
21.15	-43.75
21.15	-42.91
21.20	-42.91
21.20	-43.28
21.25	-43.28
21.25	-42.36
21.30	-42.36
21.30	-41.85
21.35	-41.85
21.35	-42.83
21.40	-42.83
21.40	-41.87
21.45	-41.87
21.45	-42.03
21.50	-42.03
21.50	-41.59
21.55	-41.59
21.55	-41.56
21.60	-41.56
21.60	-42.14
21.65	-42.14
21.65	-42.34
21.70	-42.34
21.70	-42.90
21.75	-42.90
21.75	-42.40
21.80	-42.40
21.80	-42.31
21.85	-42.31
21.85	-43.01
21.90	-43.01
21.90	-42.24
21.95	-42.24
21.95	-42.38
22.00	-42.38
22.00	-43.48
22.05	-43.48
22.05	-41.22
22.10	-41.22
22.10	-41.20
22.15	-41.20
22.15	-42.49
22.20	-42.49
22.20	-41.87
22.25	-41.87
22.25	-41.18
22.30	-41.18
22.30	-42.27
22.35	-42.27
22.35	-42.11
22.40	-42.11
22.40	-42.76
22.45	-42.76
22.45	-42.47
22.50	-42.47
22.50	-41.76
22.55	-41.76
22.55	-41.07
22.60	-41.07
22.60	-39.76
22.65	-39.76
22.65	-41.92
22.70	-41.92
22.70	-43.46
22.75	-43.46
22.75	-42.00
22.80	-42.00
22.80	-43.68
22.85	-43.68
22.85	-43.61
22.90	-43.61
22.90	-43.77
22.95	-43.77
22.95	-43.67
23.00	-43.67
23.00	-44.07
23.05	-44.07
23.05	-43.12
23.10	-43.12
23.10	-43.72
23.15	-43.72
23.15	-44.19
23.20	-44.19
23.20	-43.53
23.25	-43.53
23.25	-43.57
23.30	-43.57
23.30	-42.65
23.35	-42.65
23.35	-43.14
23.40	-43.14
23.40	-43.74
23.45	-43.74
23.45	-43.55
23.50	-43.55
23.50	-43.82
23.55	-43.82
23.55	-44.32
23.60	-44.32
23.60	-43.80
23.65	-43.80
23.65	-42.62
23.70	-42.62
23.70	-43.54
23.75	-43.54
23.75	-43.41
23.80	-43.41
23.80	-43.50
23.85	-43.50
23.85	-43.20
23.90	-43.20
23.90	-42.70
23.95	-42.70
23.95	-43.60
24.00	-43.60
24.00	-44.23
24.05	-44.23
24.05	-43.04
24.10	-43.04
24.10	-43.84
24.15	-43.84
24.15	-44.06
24.20	-44.06
24.20	-43.89
24.25	-43.89
24.25	-44.49
24.30	-44.49
24.30	-42.67
24.35	-42.67
24.35	-42.74
24.40	-42.74
24.40	-43.43
24.45	-43.43
24.45	-44.21
24.50	-44.21
24.50	-43.39
24.55	-43.39
24.55	-42.79
24.60	-42.79
24.60	-44.00
24.65	-44.00
24.65	-43.45
24.70	-43.45
24.70	-42.93
24.75	-42.93
24.75	-44.13
24.80	-44.13
24.80	-44.86
24.85	-44.86
24.85	-42.36
24.90	-42.36
24.90	-43.39
24.95	-43.39
24.95	-43.44
25.00	-43.44
25.00	-44.56
25.05	-44.56
25.05	-44.76
25.10	-44.76
25.10	-44.18
25.15	-44.18
25.15	-43.73
25.20	-43.73
25.20	-44.76
25.25	-44.76
25.25	-44.37
25.30	-44.37
25.30	-43.45
25.35	-43.45
25.35	-43.45
25.40	-43.45
25.40	-44.76
25.45	-44.76
25.45	-42.46
25.50	-42.46
25.50	-43.24
25.55	-43.24
25.55	-42.27
25.60	-42.27
25.60	-42.76
25.65	-42.76
25.65	-43.18
25.70	-43.18
25.70	-42.79
25.75	-42.79
25.75	-42.67
25.80	-42.67
25.80	-42.44
25.85	-42.44
25.85	-42.94
25.90	-42.94
25.90	-43.79
25.95	-43.79
25.95	-45.62
26.00	-45.62
26.00	-44.40
26.05	-44.40
26.05	-43.54
26.10	-43.54
26.10	-43.17
26.15	-43.17
26.15	-43.36
26.20	-43.36
26.20	-44.16
26.25	-44.16
26.25	-44.07
26.30	-44.07
26.30	-43.23
26.35	-43.23
26.35	-43.91
26.40	-43.91
26.40	-43.47
26.45	-43.47
26.45	-42.54
26.50	-42.54
26.50	-43.97
26.55	-43.97
26.55	-43.97
26.60	-43.97
26.60	-42.36
26.65	-42.36
26.65	-42.63
26.70	-42.63
26.70	-43.45
26.75	-43.45
26.75	-43.35
26.80	-43.35
26.80	-43.08
26.85	-43.08
26.85	-44.06
26.90	-44.06
26.90	-44.40
26.95	-44.40
26.95	-44.58
27.00	-44.58
27.00	-43.61
27.05	-43.61
27.05	-43.03
27.10	-43.03
27.10	-41.42
27.15	-41.42
27.15	-40.72
27.20	-40.72
27.20	-39.62
27.25	-39.62
27.25	-39.40
27.30	-39.40
27.30	-38.37
27.35	-38.37
27.35	-43.20
27.40	-43.20
27.40	-43.72
27.45	-43.72
27.45	-43.82
27.50	-43.82
27.50	-43.85
27.55	-43.85
27.55	-44.84
27.60	-44.84
27.60	-44.20
27.65	-44.20
27.65	-44.58
27.70	-44.58
27.70	-44.05
27.75	-44.05
27.75	-44.15
27.80	-44.15
27.80	-44.48
27.85	-44.48
27.85	-43.75
27.90	-43.75
27.90	-44.70
27.95	-44.70
27.95	-43.59
28.00	-43.59
28.00	-43.78
28.05	-43.78
28.05	-44.28
28.10	-44.28
28.10	-43.20
28.15	-43.20
28.15	-43.23
28.20	-43.23
28.20	-40.58
28.25	-40.58
28.25	-40.33
28.30	-40.33
28.30	-40.45
28.35	-40.45
28.35	-40.36
28.40	-40.36
28.40	-39.02
28.45	-39.02
28.45	-40.23
28.50	-40.23
28.50	-42.50
28.55	-42.50
28.55	-43.60
28.60	-43.60
28.60	-44.37
28.65	-44.37
28.65	-44.08
28.70	-44.08
28.70	-44.54
28.75	-44.54
28.75	-43.71
28.80	-43.71
28.80	-44.13
28.85	-44.13
28.85	-44.32
28.90	-44.32
28.90	-43.65
28.95	-43.65
28.95	-43.51
29.00	-43.51
29.00	-44.14
29.05	-44.14
29.05	-45.07
29.10	-45.07
29.10	-44.35
29.15	-44.35
29.15	-45.82
29.20	-45.82
29.20	-44.57
29.25	-44.57
29.25	-45.22
29.30	-45.22
29.30	-44.39
29.35	-44.39
29.35	-44.15
29.40	-44.15
29.40	-44.31
29.45	-44.31
29.45	-44.51
29.50	-44.51
29.50	-44.06
29.55	-44.06
29.55	-43.98
29.60	-43.98
29.60	-44.83
29.65	-44.83
29.65	-44.47
29.70	-44.47
29.70	-45.11
29.75	-45.11
29.75	-44.22
29.80	-44.22
29.80	-44.37
29.85	-44.37
29.85	-45.09
29.90	-45.09
29.90	-43.74
29.95	-43.74
29.95	-44.04
30.00	-44.04
30.00	-44.88
30.05	-44.88
30.05	-43.76
30.10	-43.76
30.10	-43.35
30.15	-43.35
30.15	-43.83
30.20	-43.83
30.20	-42.23
30.25	-42.23
30.25	-42.37
30.30	-42.37
30.30	-43.00
30.35	-43.00
30.35	-43.85
30.40	-43.85
30.40	-43.12
30.45	-43.12
30.45	-43.65
30.50	-43.65
30.50	-44.24
30.55	-44.24
30.55	-44.21
30.60	-44.21
30.60	-43.66
30.65	-43.66
30.65	-43.89
30.70	-43.89
30.70	-43.58
30.75	-43.58
30.75	-43.28
30.80	-43.28
30.80	-44.29
30.85	-44.29
30.85	-44.13
30.90	-44.13
30.90	-43.22
30.95	-43.22
30.95	-43.74
31.00	-43.74
31.00	-44.21
31.05	-44.21
31.05	-43.46
31.10	-43.46
31.10	-43.08
31.15	-43.08
31.15	-44.40
31.20	-44.40
31.20	-43.69
31.25	-43.69
31.25	-44.02
31.30	-44.02
31.30	-43.95
31.35	-43.95
31.35	-43.09
31.40	-43.09
31.40	-43.68
31.45	-43.68
31.45	-43.39
31.50	-43.39
31.50	-44.07
31.55	-44.07
31.55	-43.65
31.60	-43.65
31.60	-43.96
31.65	-43.96
